junction_id,inc_lanes,int_lanes,stake_number,route_direction,route_code,section_code
-47577,-11820_0 -11820_1 -11820_2 -11820_3,:-47577_0_0 :-47577_0_1 :-47577_0_2 :-47577_0_3,0.000,upstream,S4,S4成宜昭高速（成宜段）
-43905,-6828_0 -6828_1,:-43905_0_0 :-43905_0_1,0.000,upstream,S4,S4成宜昭高速（成宜段）
-58989,-12878_0 -12878_1,:-58989_0_0 :-58989_1_0 :-58989_1_1,0.000,upstream,S4,S4成宜昭高速（成宜段）
-36425,-15616_0 -15616_1,:-36425_0_0 :-36425_0_1,0.000,upstream,S4,S4成宜昭高速（成宜段）
-49492,-8956_0 -8956_1,:-49492_0_0 :-49492_1_0 :-49492_1_1,0.000,upstream,S4,S4成宜昭高速（成宜段）
-27753,-2468_0 -2468_1 -2468_2 -2468_3,:-27753_0_0 :-27753_0_1 :-27753_0_2 :-27753_0_3,0.000,upstream,S4,S4成宜昭高速（成宜段）
-49345,-10630_0 -10630_1 -10630_2 -10630_3,:-49345_0_0 :-49345_0_1 :-49345_0_2 :-49345_0_3,0.000,upstream,S4,S4成宜昭高速（成宜段）
-31426,-5298_0 -5298_1,:-31426_0_0 :-31426_1_0 :-31426_1_1,0.000,upstream,S4,S4成宜昭高速（成宜段）
-35447,-12242_0 -12242_1,:-35447_0_0 :-35447_0_1,0.000,upstream,S4,S4成宜昭高速（成宜段）
-27591,-14118_0 -14118_1 -14118_2 -14118_3,:-27591_0_0 :-27591_0_1 :-27591_0_2 :-27591_0_3,0.000,upstream,S4,S4成宜昭高速（成宜段）
8721830509,-4000000361_0 -4000000361_1,:8721830509_0_0 :8721830509_0_1,0.000,upstream,S81,S81德会高速
8721830352,-4000000449_0 -4000000449_1,:8721830352_0_0 :8721830352_0_1,0.000,upstream,S81,S0081001
8721830521,-4000000358_0 -4000000358_1,:8721830521_0_0 :8721830521_0_1,0.000,upstream,S81,S81德会高速
9868917854,-4000000429_0 -4000000429_1,:9868917854_0_0 :9868917854_0_1,0.000,upstream,S81,S0081001
8721830805,-4000000238_0 -4000000238_1,:8721830805_0_0 :8721830805_0_1,0.000,upstream,S81,S81德会高速
8721830344,-4000000240_0 -4000000240_1,:8721830344_0_0 :8721830344_0_1,0.000,upstream,S81,S0081001
9868917873,-4000000418_0 -4000000418_1,:9868917873_0_0 :9868917873_0_1,0.000,upstream,S81,S0081001
10554772703,-4000000374_0 -4000000374_1,:10554772703_0_0 :10554772703_0_1,0.000,upstream,S81,S81德会高速
9868917866,-4000000421_0 -4000000421_1,:9868917866_0_0 :9868917866_0_1,0.000,upstream,S81,S0081001
9868918043,-4000000305_0 -4000000305_1,:9868918043_0_0 :9868918043_0_1,0.000,upstream,S81,S81德会高速
10554772723,-4000000443_0 -4000000443_1,:10554772723_0_0 :10554772723_0_1,0.000,upstream,S81,S0081001
10554772718,-4000000423_0 -4000000423_1,:10554772718_0_0 :10554772718_0_1,0.000,upstream,S81,S0081001
