toll_station_id,station_name,square_code,route_code,section_code,longitude,latitude,taz_id,entrance_exit,edge_id,junction_id
512,樟海收费站,S00045100401201010,S4,S0004001,104.446351,29.0305,,entrance,-4506,-37364
512,樟海收费站,S00045100401202010,S4,S0004001,104.446496,29.030642,,entrance,-4506,-37364
331,老碾收费站,S00815100100101010,S81,S0081001,102.319396,27.143904,S00815100100101010,entrance,,
331,老碾收费站,S00815100100102010,S81,S0081001,102.318949,27.144081,S00815100100102010,entrance,,
332,六华收费站,S00815100100201010,S81,S0081001,102.383917,27.063451,S00815100100201010,entrance,-4000000416,9868917936
332,六华收费站,S00815100100202010,S81,S0081001,102.383477,27.063462,S00815100100202010,entrance,-4000000416,9868917936
333,益门收费站,S00815100100301010,S81,S0081001,102.289872,26.849733,S00815100100301010,entrance,,
333,益门收费站,S00815100100302010,S81,S0081001,102.290129,26.849492,S00815100100302010,entrance,,
334,会理北收费站,S00815100100401010,S81,S0081001,102.246458,26.725425,S00815100100401010,entrance,-4000000321,10554772522
334,会理北收费站,S00815100100402010,S81,S0081001,102.246443,26.725845,S00815100100402010,entrance,-4000000321,10554772522
335,会理东收费站,S00815100100501010,S81,S0081001,102.280001,26.645862,S00815100100501010,entrance,-4000000281,10554772243
335,会理东收费站,S00815100100502010,S81,S0081001,102.280001,26.645862,S00815100100502010,entrance,-4000000281,10554772243
798,天府新区收费站,S42025100200201010,SA2,SA002002,104.069543,30.357975,S42025100200201010,entrance,-1000000054,5504524691
798,天府新区收费站,S42025100200201020,SA2,SA002002,104.070114,30.345521,S42025100200201020,entrance,-1000000053,5504524682
798,天府新区收费站,S42025100200202010,SA2,SA002002,104.070151,30.357602,S42025100200202010,entrance,-1000000054,5504524691
798,天府新区收费站,S42025100200202020,SA2,SA002002,104.069573,30.345653,S42025100200202020,entrance,-1000000053,5504524682
799,天府新区煎茶收费站,S42025100200301010,SA2,SA002002,104.037729,30.369436,S42025100200301010,entrance,-1000000007,5490709353
799,天府新区煎茶收费站,S42025100200302010,SA2,SA002002,104.037395,30.369176,S42025100200302010,entrance,-1000000007,5490709353
800,双流黄龙溪收费站,S42025100200401010,SA2,SA002002,103.964592,30.392805,S42025100200401010,entrance,-1000000047,6302024367
800,双流黄龙溪收费站,S42025100200401020,SA2,SA002002,103.962274,30.381223,S42025100200401020,entrance,-1000000050,5505378060
800,双流黄龙溪收费站,S42025100200402010,SA2,SA002002,103.965118,30.392712,S42025100200402010,entrance,-1000000047,6302024367
800,双流黄龙溪收费站,S42025100200402020,SA2,SA002002,103.961669,30.381257,S42025100200402020,entrance,-1000000050,5505378060
802,新津花源收费站,S42025100200501010,SA2,SA002002,103.852309,30.459741,S42025100200501010,entrance,-3744,-35414
802,新津花源收费站,S42025100200502010,SA2,SA002002,103.852107,30.459671,S42025100200502010,entrance,-3744,-35414
803,新津兴义收费站,S42025100200601010,SA2,SA002002,103.816858,30.503856,S42025100200601010,entrance,-3356,-34214
803,新津兴义收费站,S42025100200602010,SA2,SA002002,103.817001,30.503715,S42025100200602010,entrance,-3356,-34214
804,崇州三江收费站,S42025100200701010,SA2,SA002002,103.785913,30.545373,S42025100200701010,entrance,-10958,-54771
